,texto
37,"“Yes, I knew you would; but it is quite true, all the same.”"
38,"“Too much of yourself in it! Upon my word, Basil, I didn’t know you were so vain; and I really can’t see any"
39,"resemblance between you, with your rugged strong face and your coal-black hair, and this young Adonis, who"
40,"looks as if he was made out of ivory and rose-leaves. Why, my dear Basil, he is a Narcissus, and you—well, of"
41,"course you have an intellectual expression and all that. But beauty, real beauty, ends where an intellectual"
42,"expression begins. Intellect is in itself a mode of exaggeration, and destroys the harmony of any face. The"
43,"moment one sits down to think, one becomes all nose, or all forehead, or something horrid. Look at the"
44,"successful men in any of the learned professions. How perfectly hideous they are! Except, of course, in the"
45,Church. But then in the Church they don’t think. A bishop keeps on saying at the age of eighty what he was told
46,"to say when he was a boy of eighteen, and as a natural consequence he always looks absolutely delightful. Your"
47,"mysterious young friend, whose name you have never told me, but whose picture really fascinates me, never"
48,thinks. I feel quite sure of that. He is some brainless beautiful creature who should be always here in winter
49,"when we have no ﬂowers to look at, and always here in summer when we want something to chill our"
50,"intelligence. Don’t flatter yourself, Basil: you are not in the least like him.”"
51,"“You don’t understand me, Harry,” answered the artist. “Of course I am not like him. I know that perfectly well."
52,"Indeed, I should be sorry to look like him. You shrug your shoulders? I am telling you the truth. There is a fatality"
53,"about all physical and intellectual distinction, the sort of fatality that seems to dog through history the faltering"
54,steps of kings. It is better not to be diﬀerent from one’s fellows. The ugly and the stupid have the best of it in this
55,"world. They can sit at their ease and gape at the play. If they know nothing of victory, they are at least spared"
56,"the knowledge of defeat. They live as we all should live—undisturbed, indiﬀerent, and without disquiet. They"
57,"neither bring ruin upon others, nor ever receive it from alien hands. Your rank and wealth, Harry; my brains,"
58,"such as they are—my art, whatever it may be worth; Dorian Gray’s good looks—we shall all suﬀer for what the"
59,"gods have given us, suffer terribly.”"
60,"“Dorian Gray? Is that his name?” asked Lord Henry, walking across the studio towards Basil Hallward."
61,"“Yes, that is his name. I didn’t intend to tell it to you.”"
62,“But why not?”
63,"“Oh, I can’t explain. When I like people immensely, I never tell their names to any one. It is like surrendering a"
64,part of them. I have grown to love secrecy. It seems to be the one thing that can make modern life mysterious
65,or marvellous to us. The commonest thing is delightful if one only hides it. When I leave town now I never tell my
66,"people where I am going. If I did, I would lose all my pleasure. It is a silly habit, I dare say, but somehow it"
67,seems to bring a great deal of romance into one’s life. I suppose you think me awfully foolish about it?”
68,"“Not at all,” answered Lord Henry, “not at all, my dear Basil. You seem to forget that I am married, and the"
69,one charm of marriage is that it makes a life of deception absolutely necessary for both parties. I never know
70,"where my wife is, and my wife never knows what I am doing. When we meet—we do meet occasionally, when"
71,"we dine out together, or go down to the Duke’s—we tell each other the most absurd stories with the most"
72,"serious faces. My wife is very good at it—much better, in fact, than I am. She never gets confused over her"
73,"dates, and I always do. But when she does ﬁnd me out, she makes no row at all. I sometimes wish she would;"
74,but she merely laughs at me.”
75,"“I hate the way you talk about your married life, Harry,” said Basil Hallward, strolling towards the door that led"
76,"into the garden. “I believe that you are really a very good husband, but that you are thoroughly ashamed of your"
77,"own virtues. You are an extraordinary fellow. You never say a moral thing, and you never do a wrong thing. Your"
78,cynicism is simply a pose.”
79,"“Being natural is simply a pose, and the most irritating pose I know,” cried Lord Henry, laughing; and the two"
80,young men went out into the garden together and ensconced themselves on a long bamboo seat that stood in
81,"the shade of a tall laurel bush. The sunlight slipped over the polished leaves. In the grass, white daisies were"
82,tremulous.
83,"After a pause, Lord Henry pulled out his watch. “I am afraid I must be going, Basil,” he murmured, “and before"
84,"I go, I insist on your answering a question I put to you some time ago.”"
85,"“What is that?” said the painter, keeping his eyes fixed on the ground."
86,“You know quite well.”
87,"“I do not, Harry.”"
88,"“Well, I will tell you what it is. I want you to explain to me why you won’t exhibit Dorian Gray’s picture. I want"
89,the real reason.”
90,“I told you the real reason.”
91,"“No, you did not. You said it was because there was too much of yourself in it. Now, that is childish.”"
92,"“Harry,” said Basil Hallward, looking him straight in the face, “every portrait that is painted with feeling is a"
93,"portrait of the artist, not of the sitter. The sitter is merely the accident, the occasion. It is not he who is revealed"
94,"by the painter; it is rather the painter who, on the coloured canvas, reveals himself. The reason I will not exhibit"
95,this picture is that I am afraid that I have shown in it the secret of my own soul.”
96,Lord Henry laughed. “And what is that?” he asked.
97,"“I will tell you,” said Hallward; but an expression of perplexity came over his face."
98,"“I am all expectation, Basil,” continued his companion, glancing at him."
99,"“Oh, there is really very little to tell, Harry,” answered the painter; “and I am afraid you will hardly understand"
100,it. Perhaps you will hardly believe it.”
101,"Lord Henry smiled, and leaning down, plucked a pink-petalled daisy from the grass and examined it. “I am"
102,"quite sure I shall understand it,” he replied, gazing intently at the little golden, white-feathered disk, “and as for"
103,"believing things, I can believe anything, provided that it is quite incredible.”"
104,"The wind shook some blossoms from the trees, and the heavy lilac-blooms, with their clustering stars, moved"
105,"to and fro in the languid air. A grasshopper began to chirrup by the wall, and like a blue thread a long thin"
106,dragon-ﬂy ﬂoated past on its brown gauze wings. Lord Henry felt as if he could hear Basil Hallward’s heart
107,"beating, and wondered what was coming."
108,"“The story is simply this,” said the painter after some time. “Two months ago I went to a crush at Lady"
109,"Brandon’s. You know we poor artists have to show ourselves in society from time to time, just to remind the"
110,"public that we are not savages. With an evening coat and a white tie, as you told me once, anybody, even a"
111,"stock-broker, can gain a reputation for being civilized. Well, after I had been in the room about ten minutes,"
112,"talking to huge overdressed dowagers and tedious academicians, I suddenly became conscious that some one"
113,"was looking at me. I turned half-way round and saw Dorian Gray for the ﬁrst time. When our eyes met, I felt that"
114,I was growing pale. A curious sensation of terror came over me. I knew that I had come face to face with some
115,"one whose mere personality was so fascinating that, if I allowed it to do so, it would absorb my whole nature, my"
116,"whole soul, my very art itself. I did not want any external inﬂuence in my life. You know yourself, Harry, how"
117,"independent I am by nature. I have always been my own master; had at least always been so, till I met Dorian"
118,Gray. Then—but I don’t know how to explain it to you. Something seemed to tell me that I was on the verge of a
119,terrible crisis in my life. I had a strange feeling that fate had in store for me exquisite joys and exquisite sorrows.
120,I grew afraid and turned to quit the room. It was not conscience that made me do so: it was a sort of cowardice. I
121,take no credit to myself for trying to escape.”
122,"“Conscience and cowardice are really the same things, Basil. Conscience is the trade-name of the ﬁrm. That"
123,is all.”
124,"“I don’t believe that, Harry, and I don’t believe you do either. However, whatever was my motive—and it may"
125,"have been pride, for I used to be very proud—I certainly struggled to the door. There, of course, I stumbled"
126,"against Lady Brandon. ‘You are not going to run away so soon, Mr. Hallward?’ she screamed out. You know"
127,her curiously shrill voice?”
128,"“Yes; she is a peacock in everything but beauty,” said Lord Henry, pulling the daisy to bits with his long"
129,nervous fingers.
130,"“I could not get rid of her. She brought me up to royalties, and people with stars and garters, and elderly"
131,ladies with gigantic tiaras and parrot noses. She spoke of me as her dearest friend. I had only met her once
132,"before, but she took it into her head to lionize me. I believe some picture of mine had made a great success at"
133,"the time, at least had been chattered about in the penny newspapers, which is the nineteenth-century standard"
134,of immortality. Suddenly I found myself face to face with the young man whose personality had so strangely
135,"stirred me. We were quite close, almost touching. Our eyes met again. It was reckless of me, but I asked Lady"
136,"Brandon to introduce me to him. Perhaps it was not so reckless, after all. It was simply inevitable. We would"
137,"have spoken to each other without any introduction. I am sure of that. Dorian told me so afterwards. He, too, felt"
138,that we were destined to know each other.”
139,“And how did Lady Brandon describe this wonderful young man?” asked his companion. “I know she goes in
140,for giving a rapid précis of all her guests. I remember her bringing me up to a truculent and red-faced old
141,"gentleman covered all over with orders and ribbons, and hissing into my ear, in a tragic whisper which must"
142,"have been perfectly audible to everybody in the room, the most astounding details. I simply ﬂed. I like to ﬁnd out"
143,people for myself. But Lady Brandon treats her guests exactly as an auctioneer treats his goods. She either
144,"explains them entirely away, or tells one everything about them except what one wants to know.”"
145,"“Poor Lady Brandon! You are hard on her, Harry!” said Hallward listlessly."
146,"“My dear fellow, she tried to found a salon, and only succeeded in opening a restaurant. How could I admire"
147,"her? But tell me, what did she say about Mr. Dorian Gray?”"
148,"“Oh, something like, ‘Charming boy—poor dear mother and I absolutely inseparable. Quite forget what he"
149,"does—afraid he—doesn’t do anything—oh, yes, plays the piano—or is it the violin, dear Mr. Gray?’ Neither of"
150,"us could help laughing, and we became friends at once.”"
151,"“Laughter is not at all a bad beginning for a friendship, and it is far the best ending for one,” said the young"
152,"lord, plucking another daisy."
153,"Hallward shook his head. “You don’t understand what friendship is, Harry,” he murmured—“or what enmity is,"
154,"for that matter. You like every one; that is to say, you are indifferent to every one.”"
155,"“How horribly unjust of you!” cried Lord Henry, tilting his hat back and looking up at the little clouds that, like"
156,"ravelled skeins of glossy white silk, were drifting across the hollowed turquoise of the summer sky. “Yes;"
157,"horribly unjust of you. I make a great diﬀerence between people. I choose my friends for their good looks, my"
158,"acquaintances for their good characters, and my enemies for their good intellects. A man cannot be too careful"
159,"in the choice of his enemies. I have not got one who is a fool. They are all men of some intellectual power, and"
160,consequently they all appreciate me. Is that very vain of me? I think it is rather vain.”
161,"“I should think it was, Harry. But according to your category I must be merely an acquaintance.”"
162,"“My dear old Basil, you are much more than an acquaintance.”"
163,"“And much less than a friend. A sort of brother, I suppose?”"
164,"“Oh, brothers! I don’t care for brothers. My elder brother won’t die, and my younger brothers seem never to do"
165,anything else.”
166,"“Harry!” exclaimed Hallward, frowning."
167,"“My dear fellow, I am not quite serious. But I can’t help detesting my relations. I suppose it comes from the"
168,fact that none of us can stand other people having the same faults as ourselves. I quite sympathize with the
169,rage of the English democracy against what they call the vices of the upper orders. The masses feel that
170,"drunkenness, stupidity, and immorality should be their own special property, and that if any one of us makes an"
171,"ass of himself, he is poaching on their preserves. When poor Southwark got into the divorce court, their"
172,indignation was quite magnificent. And yet I don’t suppose that ten per cent of the proletariat live correctly.”
173,"“I don’t agree with a single word that you have said, and, what is more, Harry, I feel sure you don’t either.”"
174,Lord Henry stroked his pointed brown beard and tapped the toe of his patent-leather boot with a tasselled
175,ebony cane. “How English you are Basil! That is the second time you have made that observation. If one puts
176,forward an idea to a true Englishman—always a rash thing to do—he never dreams of considering whether the
177,"idea is right or wrong. The only thing he considers of any importance is whether one believes it oneself. Now,"
178,"the value of an idea has nothing whatsoever to do with the sincerity of the man who expresses it. Indeed, the"
179,"probabilities are that the more insincere the man is, the more purely intellectual will the idea be, as in that case"
180,"it will not be coloured by either his wants, his desires, or his prejudices. However, I don’t propose to discuss"
181,"politics, sociology, or metaphysics with you. I like persons better than principles, and I like persons with no"
182,principles better than anything else in the world. Tell me more about Mr. Dorian Gray. How often do you see
183,him?”
184,“Every day. I couldn’t be happy if I didn’t see him every day. He is absolutely necessary to me.”
185,“How extraordinary! I thought you would never care for anything but your art.”
186,"“He is all my art to me now,” said the painter gravely. “I sometimes think, Harry, that there are only two eras"
187,"of any importance in the world’s history. The ﬁrst is the appearance of a new medium for art, and the second is"
188,"the appearance of a new personality for art also. What the invention of oil-painting was to the Venetians, the"
189,"face of Antinous was to late Greek sculpture, and the face of Dorian Gray will some day be to me. It is not"
190,"merely that I paint from him, draw from him, sketch from him. Of course, I have done all that. But he is much"
191,"more to me than a model or a sitter. I won’t tell you that I am dissatisﬁed with what I have done of him, or that"
192,"his beauty is such that art cannot express it. There is nothing that art cannot express, and I know that the work I"
193,"have done, since I met Dorian Gray, is good work, is the best work of my life. But in some curious way—I"
194,"wonder will you understand me?—his personality has suggested to me an entirely new manner in art, an"
195,"entirely new mode of style. I see things diﬀerently, I think of them diﬀerently. I can now recreate life in a way that"
196,was hidden from me before. ‘A dream of form in days of thought’—who is it who says that? I forget; but it is what
197,"Dorian Gray has been to me. The merely visible presence of this lad—for he seems to me little more than a lad,"
198,though he is really over twenty—his merely visible presence—ah! I wonder can you realize all that that means?
199,"Unconsciously he deﬁnes for me the lines of a fresh school, a school that is to have in it all the passion of the"
200,"romantic spirit, all the perfection of the spirit that is Greek. The harmony of soul and body—how much that is!"
201,"We in our madness have separated the two, and have invented a realism that is vulgar, an ideality that is void."
202,"Harry! if you only knew what Dorian Gray is to me! You remember that landscape of mine, for which Agnew"
203,oﬀered me such a huge price but which I would not part with? It is one of the best things I have ever done. And
204,"why is it so? Because, while I was painting it, Dorian Gray sat beside me. Some subtle inﬂuence passed from"
205,"him to me, and for the ﬁrst time in my life I saw in the plain woodland the wonder I had always looked for and"
206,always missed.”
207,"“Basil, this is extraordinary! I must see Dorian Gray.”"
208,"Hallward got up from the seat and walked up and down the garden. After some time he came back. “Harry,”"
209,"he said, “Dorian Gray is to me simply a motive in art. You might see nothing in him. I see everything in him. He"
210,"is never more present in my work than when no image of him is there. He is a suggestion, as I have said, of a"
211,"new manner. I ﬁnd him in the curves of certain lines, in the loveliness and subtleties of certain colours. That is"
212,all.”
213,“Then why won’t you exhibit his portrait?” asked Lord Henry.
214,"“Because, without intending it, I have put into it some expression of all this curious artistic idolatry, of which, o"
215,"course, I have never cared to speak to him. He knows nothing about it. He shall never know anything about it."
216,"But the world might guess it, and I will not bare my soul to their shallow prying eyes. My heart shall never be put"
217,"under their microscope. There is too much of myself in the thing, Harry—too much of myself!”"
218,“Poets are not so scrupulous as you are. They know how useful passion is for publication. Nowadays a
219,broken heart will run to many editions.”
220,"“I hate them for it,” cried Hallward. “An artist should create beautiful things, but should put nothing of his own"
221,life into them. We live in an age when men treat art as if it were meant to be a form of autobiography. We have
222,lost the abstract sense of beauty. Some day I will show the world what it is; and for that reason the world shall
223,never see my portrait of Dorian Gray.”
224,"“I think you are wrong, Basil, but I won’t argue with you. It is only the intellectually lost who ever argue. Tell"
225,"me, is Dorian Gray very fond of you?”"
226,"The painter considered for a few moments. “He likes me,” he answered after a pause; “I know he likes me. Of"
227,course I ﬂatter him dreadfully. I ﬁnd a strange pleasure in saying things to him that I know I shall be sorry for
228,"having said. As a rule, he is charming to me, and we sit in the studio and talk of a thousand things. Now and"
229,"then, however, he is horribly thoughtless, and seems to take a real delight in giving me pain. Then I feel, Harry,"
230,"that I have given away my whole soul to some one who treats it as if it were a ﬂower to put in his coat, a bit of"
231,"decoration to charm his vanity, an ornament for a summer’s day.”"
232,"“Days in summer, Basil, are apt to linger,” murmured Lord Henry. “Perhaps you will tire sooner than he will. It"
233,"is a sad thing to think of, but there is no doubt that genius lasts longer than beauty. That accounts for the fact"
234,"that we all take such pains to over-educate ourselves. In the wild struggle for existence, we want to have"
235,"something that endures, and so we ﬁll our minds with rubbish and facts, in the silly hope of keeping our place."
236,The thoroughly well-informed man—that is the modern ideal. And the mind of the thoroughly well-informed man
237,"is a dreadful thing. It is like a bric-à-brac shop, all monsters and dust, with everything priced above its proper"
238,"value. I think you will tire ﬁrst, all the same. Some day you will look at your friend, and he will seem to you to be"
239,"a little out of drawing, or you won’t like his tone of colour, or something. You will bitterly reproach him in your"
240,"own heart, and seriously think that he has behaved very badly to you. The next time he calls, you will be"
241,"perfectly cold and indiﬀerent. It will be a great pity, for it will alter you. What you have told me is quite a"
242,"romance, a romance of art one might call it, and the worst of having a romance of any kind is that it leaves one"
243,so unromantic.”
244,"“Harry, don’t talk like that. As long as I live, the personality of Dorian Gray will dominate me. You can’t feel"
245,what I feel. You change too often.”
246,"“Ah, my dear Basil, that is exactly why I can feel it. Those who are faithful know only the trivial side of love: it"
247,is the faithless who know love’s tragedies.” And Lord Henry struck a light on a dainty silver case and began to
248,"smoke a cigarette with a self-conscious and satisﬁed air, as if he had summed up the world in a phrase. There"
249,"was a rustle of chirruping sparrows in the green lacquer leaves of the ivy, and the blue cloud-shadows chased"
250,themselves across the grass like swallows. How pleasant it was in the garden! And how delightful other
251,"people’s emotions were!—much more delightful than their ideas, it seemed to him. One’s own soul, and the"
252,passions of one’s friends—those were the fascinating things in life. He pictured to himself with silent amusement
253,"the tedious luncheon that he had missed by staying so long with Basil Hallward. Had he gone to his aunt’s, he"
254,"would have been sure to have met Lord Goodbody there, and the whole conversation would have been about"
255,the feeding of the poor and the necessity for model lodging-houses. Each class would have preached the
256,"importance of those virtues, for whose exercise there was no necessity in their own lives. The rich would have"
257,"spoken on the value of thrift, and the idle grown eloquent over the dignity of labour. It was charming to have"
258,"escaped all that! As he thought of his aunt, an idea seemed to strike him. He turned to Hallward and said, “My"
259,"dear fellow, I have just remembered.”"
260,"“Remembered what, Harry?”"
261,“Where I heard the name of Dorian Gray.”
262,"“Where was it?” asked Hallward, with a slight frown."
263,"“Don’t look so angry, Basil. It was at my aunt, Lady Agatha’s. She told me she had discovered a wonderful"
264,"young man who was going to help her in the East End, and that his name was Dorian Gray. I am bound to state"
265,"that she never told me he was good-looking. Women have no appreciation of good looks; at least, good women"
266,have not. She said that he was very earnest and had a beautiful nature. I at once pictured to myself a creature
267,"with spectacles and lank hair, horribly freckled, and tramping about on huge feet. I wish I had known it was your"
268,friend.”
269,"“I am very glad you didn’t, Harry.”"
270,“Why?”
271,“I don’t want you to meet him.”
272,“You don’t want me to meet him?”
273,“No.”
274,"“Mr. Dorian Gray is in the studio, sir,” said the butler, coming into the garden."
275,"    “You must introduce me now,” cried Lord Henry, laughing."
276,"The painter turned to his servant, who stood blinking in the sunlight. “Ask Mr. Gray to wait, Parker: I shall be"
277,in in a few moments.” The man bowed and went up the walk.
278,"Then he looked at Lord Henry. “Dorian Gray is my dearest friend,” he said. “He has a simple and a beautiful"
279,nature. Your aunt was quite right in what she said of him. Don’t spoil him. Don’t try to inﬂuence him. Your
280,"inﬂuence would be bad. The world is wide, and has many marvellous people in it. Don’t take away from me the"
281,"one person who gives to my art whatever charm it possesses: my life as an artist depends on him. Mind, Harry,"
282,"I trust you.” He spoke very slowly, and the words seemed wrung out of him almost against his will."
283,"“What nonsense you talk!” said Lord Henry, smiling, and taking Hallward by the arm, he almost led him into"
284,the house.
285,                                                  CHAPTER II.
286,"As they entered they saw Dorian Gray. He was seated at the piano, with his back to them, turning over the"
287,"pages of a volume of Schumann’s “Forest Scenes.” “You must lend me these, Basil,” he cried. “I want to learn"
288,them. They are perfectly charming.”
289,"“That entirely depends on how you sit to-day, Dorian.”"
290,"“Oh, I am tired of sitting, and I don’t want a life-sized portrait of myself,” answered the lad, swinging round on"
291,"the music-stool in a wilful, petulant manner. When he caught sight of Lord Henry, a faint blush coloured his"
292,"cheeks for a moment, and he started up. “I beg your pardon, Basil, but I didn’t know you had any one with you.”"
293,"“This is Lord Henry Wotton, Dorian, an old Oxford friend of mine. I have just been telling him what a capital"
294,"sitter you were, and now you have spoiled everything.”"
295,"“You have not spoiled my pleasure in meeting you, Mr. Gray,” said Lord Henry, stepping forward and"
296,"extending his hand. “My aunt has often spoken to me about you. You are one of her favourites, and, I am afraid,"
297,one of her victims also.”
298,"“I am in Lady Agatha’s black books at present,” answered Dorian with a funny look of penitence. “I promised"
299,"to go to a club in Whitechapel with her last Tuesday, and I really forgot all about it. We were to have played a"
300,"duet together—three duets, I believe. I don’t know what she will say to me. I am far too frightened to call.”"
301,"“Oh, I will make your peace with my aunt. She is quite devoted to you. And I don’t think it really matters about"
302,"your not being there. The audience probably thought it was a duet. When Aunt Agatha sits down to the piano,"
303,she makes quite enough noise for two people.”
304,"“That is very horrid to her, and not very nice to me,” answered Dorian, laughing."
305,"Lord Henry looked at him. Yes, he was certainly wonderfully handsome, with his ﬁnely curved scarlet lips, his"
306,"frank blue eyes, his crisp gold hair. There was something in his face that made one trust him at once. All the"
307,"candour of youth was there, as well as all youth’s passionate purity. One felt that he had kept himself unspotted"
308,from the world. No wonder Basil Hallward worshipped him.
309,"“You are too charming to go in for philanthropy, Mr. Gray—far too charming.” And Lord Henry ﬂung himself"
310,down on the divan and opened his cigarette-case.
311,"The painter had been busy mixing his colours and getting his brushes ready. He was looking worried, and"
312,"when he heard Lord Henry’s last remark, he glanced at him, hesitated for a moment, and then said, “Harry, I"
313,want to finish this picture to-day. Would you think it awfully rude of me if I asked you to go away?”
314,"Lord Henry smiled and looked at Dorian Gray. “Am I to go, Mr. Gray?” he asked."
315,"“Oh, please don’t, Lord Henry. I see that Basil is in one of his sulky moods, and I can’t bear him when he"
316,"sulks. Besides, I want you to tell me why I should not go in for philanthropy.”"
317,"“I don’t know that I shall tell you that, Mr. Gray. It is so tedious a subject that one would have to talk seriously"
318,"about it. But I certainly shall not run away, now that you have asked me to stop. You don’t really mind, Basil, do"
319,you? You have often told me that you liked your sitters to have some one to chat to.”
320,"Hallward bit his lip. “If Dorian wishes it, of course you must stay. Dorian’s whims are laws to everybody,"
321,except himself.”
322,"Lord Henry took up his hat and gloves. “You are very pressing, Basil, but I am afraid I must go. I have"
323,"promised to meet a man at the Orleans. Good-bye, Mr. Gray. Come and see me some afternoon in Curzon"
324,Street. I am nearly always at home at ﬁve o’clock. Write to me when you are coming. I should be sorry to miss
325,you.”
326,"“Basil,” cried Dorian Gray, “if Lord Henry Wotton goes, I shall go, too. You never open your lips while you are"
327,"painting, and it is horribly dull standing on a platform and trying to look pleasant. Ask him to stay. I insist upon it.”"
328,"“Stay, Harry, to oblige Dorian, and to oblige me,” said Hallward, gazing intently at his picture. “It is quite true,"
329,"never talk when I am working, and never listen either, and it must be dreadfully tedious for my unfortunate"
330,sitters. I beg you to stay.”
331,“But what about my man at the Orleans?”
332,"The painter laughed. “I don’t think there will be any diﬃculty about that. Sit down again, Harry. And now,"
333,"Dorian, get up on the platform, and don’t move about too much, or pay any attention to what Lord Henry says."
334,"He has a very bad influence over all his friends, with the single exception of myself.”"
335,"Dorian Gray stepped up on the dais with the air of a young Greek martyr, and made a little moue of discontent"
336,"to Lord Henry, to whom he had rather taken a fancy. He was so unlike Basil. They made a delightful contrast."
337,"And he had such a beautiful voice. After a few moments he said to him, “Have you really a very bad inﬂuence,"
338,Lord Henry? As bad as Basil says?”
339,"“There is no such thing as a good inﬂuence, Mr. Gray. All inﬂuence is immoral—immoral from the scientiﬁc"
340,point of view.”
341,“Why?”
342,"“Because to inﬂuence a person is to give him one’s own soul. He does not think his natural thoughts, or burn"
343,"with his natural passions. His virtues are not real to him. His sins, if there are such things as sins, are borrowed."
344,"He becomes an echo of some one else’s music, an actor of a part that has not been written for him. The aim of"
345,life is self-development. To realize one’s nature perfectly—that is what each of us is here for. People are afraid
346,"of themselves, nowadays. They have forgotten the highest of all duties, the duty that one owes to one’s self. Of"
347,"course, they are charitable. They feed the hungry and clothe the beggar. But their own souls starve, and are"
348,"naked. Courage has gone out of our race. Perhaps we never really had it. The terror of society, which is the"
349,"basis of morals, the terror of God, which is the secret of religion—these are the two things that govern us. And"
350,yet—”
351,"   “Just turn your head a little more to the right, Dorian, like a good boy,” said the painter, deep in his work and"
352,conscious only that a look had come into the lad’s face that he had never seen there before.
353,"“And yet,” continued Lord Henry, in his low, musical voice, and with that graceful wave of the hand that was"
354,"always so characteristic of him, and that he had even in his Eton days, “I believe that if one man were to live out"
355,"his life fully and completely, were to give form to every feeling, expression to every thought, reality to every"
356,dream—I believe that the world would gain such a fresh impulse of joy that we would forget all the maladies of
357,"mediævalism, and return to the Hellenic ideal—to something ﬁner, richer than the Hellenic ideal, it may be. But"
358,the bravest man amongst us is afraid of himself. The mutilation of the savage has its tragic survival in the self-
359,denial that mars our lives. We are punished for our refusals. Every impulse that we strive to strangle broods in
360,"the mind and poisons us. The body sins once, and has done with its sin, for action is a mode of puriﬁcation."
361,"Nothing remains then but the recollection of a pleasure, or the luxury of a regret. The only way to get rid of a"
362,"temptation is to yield to it. Resist it, and your soul grows sick with longing for the things it has forbidden to itself,"
363,with desire for what its monstrous laws have made monstrous and unlawful. It has been said that the great
364,"events of the world take place in the brain. It is in the brain, and the brain only, that the great sins of the world"
365,"take place also. You, Mr. Gray, you yourself, with your rose-red youth and your rose-white boyhood, you have"
366,"had passions that have made you afraid, thoughts that have ﬁlled you with terror, day-dreams and sleeping"
367,dreams whose mere memory might stain your cheek with shame—”
368,"“Stop!” faltered Dorian Gray, “stop! you bewilder me. I don’t know what to say. There is some answer to you,"
369,"but I cannot find it. Don’t speak. Let me think. Or, rather, let me try not to think.”"
370,"For nearly ten minutes he stood there, motionless, with parted lips and eyes strangely bright. He was dimly"
371,conscious that entirely fresh inﬂuences were at work within him. Yet they seemed to him to have come really
372,"from himself. The few words that Basil’s friend had said to him—words spoken by chance, no doubt, and with"
373,"wilful paradox in them—had touched some secret chord that had never been touched before, but that he felt"
374,was now vibrating and throbbing to curious pulses.
375,Music had stirred him like that. Music had troubled him many times. But music was not articulate. It was not a
376,"new world, but rather another chaos, that it created in us. Words! Mere words! How terrible they were! How"
377,"clear, and vivid, and cruel! One could not escape from them. And yet what a subtle magic there was in them!"
378,"They seemed to be able to give a plastic form to formless things, and to have a music of their own as sweet as"
379,that of viol or of lute. Mere words! Was there anything so real as words?
380,Yes; there had been things in his boyhood that he had not understood. He understood them now. Life
381,suddenly became ﬁery-coloured to him. It seemed to him that he had been walking in ﬁre. Why had he not
382,known it?
383,"With his subtle smile, Lord Henry watched him. He knew the precise psychological moment when to say"
384,"nothing. He felt intensely interested. He was amazed at the sudden impression that his words had produced,"
385,"and, remembering a book that he had read when he was sixteen, a book which had revealed to him much that"
386,"he had not known before, he wondered whether Dorian Gray was passing through a similar experience. He had"
387,merely shot an arrow into the air. Had it hit the mark? How fascinating the lad was!
